"";"dnb";"equinor"
"2016-02-04";100.9;119
"2016-02-05";102.4;121.7
"2016-02-08";97;118.8
"2016-02-09";94.8;117.3
"2016-02-10";98.25;113.5
"2016-02-11";91.4;110.5
"2016-02-12";92.55;114.2
"2016-02-15";98.4;117.9
"2016-02-16";96.15;117
"2016-02-17";100.5;120.4
"2016-02-18";99.65;121.4
"2016-02-19";98.7;118.7
"2016-02-22";101;124.3
"2016-02-23";99.95;122.4
"2016-02-24";94.75;116.1
"2016-02-25";96.05;119.6
"2016-02-26";99.6;124.3
"2016-02-29";100.5;127.1
"2016-03-01";100.1;127.3
"2016-03-02";101.5;128.5
"2016-03-03";102.1;130.8
"2016-03-04";102.8;133.8
"2016-03-07";101.8;133.5
"2016-03-08";103.8;133.1
"2016-03-09";103.3;131.8
"2016-03-10";104.4;130.5
"2016-03-11";106.8;129.5
"2016-03-14";107.7;130.6
"2016-03-15";106;128
"2016-03-16";103;130.8
"2016-03-17";102;133.5
"2016-03-18";102.1;135.5
"2016-03-21";102.3;133.5
"2016-03-22";102.2;134.2
"2016-03-23";101.1;132.6
"2016-03-29";96.2;126.4
"2016-03-30";98.3;131.9
"2016-03-31";97.85;130.3
"2016-04-01";97.5;125.9
"2016-04-04";95.95;124.7
"2016-04-05";94.1;122.6
"2016-04-06";94.65;122.4
"2016-04-07";94.45;124
"2016-04-08";96.7;126.5
"2016-04-11";97.5;127.9
"2016-04-12";97.8;129
"2016-04-13";103.5;132.9
"2016-04-14";104.1;132.5
"2016-04-15";103.2;130.7
"2016-04-18";102.8;129.2
"2016-04-19";104.2;133.7
"2016-04-20";105.2;134.6
"2016-04-21";107.2;138.5
"2016-04-22";106.2;138.5
"2016-04-25";104.4;136
"2016-04-26";105.6;136.5
"2016-04-27";101;144.8
"2016-04-28";105.6;144.5
"2016-04-29";103.1;142.3
"2016-05-02";102;139.8
"2016-05-03";99.85;136.3
"2016-05-04";100.7;136.6
"2016-05-06";99.75;137
"2016-05-09";98.8;133.9
"2016-05-10";99.25;133.9
"2016-05-11";98.6;135
